aid,appver,lg,qanswer,qno,ts
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q2: false,true,true,false,false",2,2021-06-25T05:44:10.587Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q3: true,false,false",3,2021-06-25T05:54:19.058Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q4: true,true,true,true,false",4,2021-06-25T05:54:19.059Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,"Q3: false,false,false",3,2021-06-25T22:20:15.060Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,"Q4: false,false,false,false,false",4,2021-06-25T22:20:15.061Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q1: n/a,1,2021-06-26T18:23:15.651Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q2: n/a,2,2021-06-26T18:23:15.652Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q3: n/a,3,2021-06-26T19:49:37.214Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q4: n/a,4,2021-06-26T19:49:37.215Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (48),es,"Q1: true,false,false,false,false,false",1,2021-06-28T10:51:26.016Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (48),es,"Q2: false,true,false,false,false",2,2021-06-28T10:51:26.017Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (48),en,"Q1: false,false,true,false,false,false",1,2021-06-28T16:53:27.903Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (48),en,"Q2: false,false,true,false,false",2,2021-06-28T16:53:27.907Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,1.0.14 (46),es,Q1: n/a,1,2021-07-03T00:39:27.898Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,1.0.14 (46),es,Q2: n/a,2,2021-07-03T00:39:27.899Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,"Q5: true,false,false,false",5,2021-07-03T04:51:31.154Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,"Q7: true,false,false",7,2021-07-03T04:51:31.156Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,"Q6: true,false,false",6,2021-07-03T04:51:31.156Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q5: n/a,5,2021-07-03T13:52:45.573Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q6: n/a,6,2021-07-03T13:52:45.574Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q7: n/a,7,2021-07-03T13:52:45.574Z
4a3b183b31251324b784d7a0ef25e4b340cd6bf7d80c8c925e1c0f7e141ae89a,1.0.14 (46),en,"Q1: true,true,true,true,true,false",1,2021-07-04T18:14:57.229Z
4a3b183b31251324b784d7a0ef25e4b340cd6bf7d80c8c925e1c0f7e141ae89a,1.0.14 (46),en,"Q2: true,false,false,false,false",2,2021-07-04T18:14:57.230Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.14 (46),es,"Q3: true,true,false",3,2021-07-06T03:28:29.207Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.14 (46),es,"Q4: true,true,true,true,false",4,2021-07-06T03:28:29.209Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (48),es,"Q3: true,false,false",3,2021-07-09T17:37:25.112Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (48),es,"Q4: true,true,true,true,false",4,2021-07-09T17:37:25.113Z
a32b0161a20cb36025ae51a5b141a7a1e4d5a8f45f17e08f429deaf8dd95f069,1.0.14 (46),en,Q1: n/a,1,2021-07-12T02:40:48.437Z
a32b0161a20cb36025ae51a5b141a7a1e4d5a8f45f17e08f429deaf8dd95f069,1.0.14 (46),en,Q2: n/a,2,2021-07-12T02:40:48.437Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q5: true,false,false,false",5,2021-07-12T14:45:24.088Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q6: true,false,false",6,2021-07-12T14:45:24.089Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q7: true,false,false",7,2021-07-12T14:45:24.090Z
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,1.0.15 (49),en,Q1: n/a,1,2021-07-12T23:38:28.381Z
3f36efb441e763020dfaf783e289655c3ec19fb13692cbde5f1c912d3c69e4c8,1.0.15 (49),en,Q2: n/a,2,2021-07-12T23:38:28.382Z
0966e226a0f93178949326ae3054846f99d8279485134631fd44bc46e724af53,1.0.14 (46),en,Q1: n/a,1,2021-07-12T23:39:21.844Z
0966e226a0f93178949326ae3054846f99d8279485134631fd44bc46e724af53,1.0.14 (46),en,Q2: n/a,2,2021-07-12T23:39:21.847Z
24d0787fa94cefb8fe5df9a97826e6937e5bdab256e54b5b3e4349a2a5b2fa1d,1.0.15 (49),en,Q1: n/a,1,2021-07-12T23:40:46.350Z
24d0787fa94cefb8fe5df9a97826e6937e5bdab256e54b5b3e4349a2a5b2fa1d,1.0.15 (49),en,Q2: n/a,2,2021-07-12T23:40:46.352Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.15 (49),en,Q1: n/a,1,2021-07-12T23:42:04.615Z
15038562bda78a0070f69d43e6ee0ffef23844e2bc725e69dbc105cb00519823,1.0.15 (49),en,Q2: n/a,2,2021-07-12T23:42:04.616Z
9c8cde8933c15141b22ed79a7eb3ec0b1f9b4ab2fb20471a50f0db10ed485c35,1.0.14 (46),en,"Q2: false,false,false,false,false",2,2021-07-14T17:40:52.961Z
9c8cde8933c15141b22ed79a7eb3ec0b1f9b4ab2fb20471a50f0db10ed485c35,1.0.14 (46),en,"Q1: false,false,false,false,false,false",1,2021-07-14T17:40:52.961Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q1: n/a,1,2021-07-15T02:56:00.391Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q2: n/a,2,2021-07-15T02:56:00.392Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q3: n/a,3,2021-07-15T03:43:57.202Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q4: n/a,4,2021-07-15T03:43:57.203Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,Q1: n/a,1,2021-07-15T03:58:34.911Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,Q2: n/a,2,2021-07-15T03:58:34.911Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q5: n/a,5,2021-07-15T04:26:27.392Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q6: n/a,6,2021-07-15T04:26:27.395Z
4d60e2cc5fcab06b2020970ff0308de4aae156792db32b64d3f3491e2e3c2065,1.0.15 (50),en,Q7: n/a,7,2021-07-15T04:26:27.396Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.15 (50),es,"Q1: false,false,false,false,false,false",1,2021-07-15T13:09:17.685Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.15 (50),es,"Q2: false,false,false,false,false",2,2021-07-15T13:09:17.686Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,"Q3: true,true,false",3,2021-07-15T15:32:41.278Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,"Q4: true,true,true,true,false",4,2021-07-15T15:32:41.279Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,1.0.15 (49),en,Q1: n/a,1,2021-07-15T20:30:26.756Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,1.0.15 (49),en,Q2: n/a,2,2021-07-15T20:30:26.757Z
caf813a58243b05e08d747ff22d6da5900e340a5ef5cd16070ef8017a85ece89,1.0.15 (50),en,"Q1: true,false,false,false,false,false",1,2021-07-16T00:12:20.693Z
caf813a58243b05e08d747ff22d6da5900e340a5ef5cd16070ef8017a85ece89,1.0.15 (50),en,"Q2: true,false,false,false,false",2,2021-07-16T00:12:20.694Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q1: n/a,1,2021-07-16T13:31:36.208Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q2: n/a,2,2021-07-16T13:31:36.209Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (49),es,Q1: n/a,1,2021-07-20T20:02:34.115Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (49),es,Q2: n/a,2,2021-07-20T20:02:34.116Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q3: n/a,3,2021-07-20T21:21:34.188Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q4: n/a,4,2021-07-20T21:21:34.189Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (49),en,"Q1: false,false,true,false,false,false",1,2021-07-21T03:04:39.075Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (49),en,"Q2: false,false,true,false,false",2,2021-07-21T03:04:39.078Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (49),en,"Q3: false,true,false",3,2021-07-21T03:06:26.709Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (49),en,"Q4: false,false,false,false,true",4,2021-07-21T03:06:26.710Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.15 (50),es,"Q3: false,false,false",3,2021-07-21T16:10:27.892Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.15 (50),es,"Q4: false,false,false,false,false",4,2021-07-21T16:10:27.893Z
9eacdaf9e8a78ccd1ac1c1907605fb381ac4aa289f838b94186f8e29702b2380,1.0.15 (50),en,"Q1: true,true,false,false,true,false",1,2021-07-21T16:45:22.242Z
9eacdaf9e8a78ccd1ac1c1907605fb381ac4aa289f838b94186f8e29702b2380,1.0.15 (50),en,"Q2: false,true,true,true,true",2,2021-07-21T16:45:22.242Z
01421035dffc9cd30f8ea5501a9de459220b0896b3fa52304d8c556b47d0c23b,1.0.15 (50),es,"Q1: true,false,false,false,false,false",1,2021-07-22T13:27:08.632Z
01421035dffc9cd30f8ea5501a9de459220b0896b3fa52304d8c556b47d0c23b,1.0.15 (50),es,"Q2: false,false,false,true,false",2,2021-07-22T13:27:08.633Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.15 (50),es,"Q1: true,false,false,false,false,false",1,2021-07-23T05:37:28.767Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.15 (50),es,"Q2: false,false,true,true,false",2,2021-07-23T05:37:28.769Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.15 (50),en,Q1: n/a,1,2021-07-23T13:16:29.328Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.15 (50),en,Q2: n/a,2,2021-07-23T13:16:29.330Z
9c8cde8933c15141b22ed79a7eb3ec0b1f9b4ab2fb20471a50f0db10ed485c35,1.0.15 (50),es,Q1: n/a,1,2021-07-25T15:47:30.864Z
9c8cde8933c15141b22ed79a7eb3ec0b1f9b4ab2fb20471a50f0db10ed485c35,1.0.15 (50),es,Q2: n/a,2,2021-07-25T15:47:30.865Z
fc03ceb5c128e25a2911e5dab9968700e9f576565bfebfd4a4ccad03b42af817,1.0.15 (50),en,Q1: n/a,1,2021-07-26T03:19:34.448Z
fc03ceb5c128e25a2911e5dab9968700e9f576565bfebfd4a4ccad03b42af817,1.0.15 (50),en,Q2: n/a,2,2021-07-26T03:19:34.449Z
0c6e0136685ea8692d0be744b35a1a9fa772e7591b58b9b79727bb0a9a3cd98a,1.0.15 (50),en,Q2: n/a,2,2021-07-26T13:25:47.327Z
0c6e0136685ea8692d0be744b35a1a9fa772e7591b58b9b79727bb0a9a3cd98a,1.0.15 (50),en,Q1: n/a,1,2021-07-26T13:25:47.327Z
0c6e0136685ea8692d0be744b35a1a9fa772e7591b58b9b79727bb0a9a3cd98a,1.0.15 (50),en,Q3: n/a,3,2021-07-26T13:54:38.889Z
0c6e0136685ea8692d0be744b35a1a9fa772e7591b58b9b79727bb0a9a3cd98a,1.0.15 (50),en,Q4: n/a,4,2021-07-26T13:54:38.890Z
941a7b2035e758bf0695ec0cea49f45541d81615ef7a1242c9f5573fd1b1eeb8,1.0.15 (49),es,"Q1: false,false,false,false,false,false",1,2021-07-26T19:41:11.616Z
941a7b2035e758bf0695ec0cea49f45541d81615ef7a1242c9f5573fd1b1eeb8,1.0.15 (49),es,"Q2: false,false,false,false,false",2,2021-07-26T19:41:11.617Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q5: n/a,5,2021-07-26T21:04:13.597Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q7: n/a,7,2021-07-26T21:04:13.598Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q6: n/a,6,2021-07-26T21:04:13.598Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.15 (49),es,"Q1: true,true,false,false,false,false",1,2021-07-26T23:10:40.888Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.15 (49),es,"Q2: false,false,false,false,false",2,2021-07-26T23:10:40.890Z
