"NameReg", "Count"
"120 HERBICIDE | 9779-96", 4
"DREXEL CARBARYL 4L INSECTICIDE | 19713-49", 1
"DREXEL MALATHION 5EC INSECTICIDE/MITICIDE | 19713-217", 1
"DuPONT EXIREL | 352-859", 1
"DuPONT LANNATE LV INSECTICIDE | 352-384", 2
"ENTRUST NATURALYTE INSECT CONTROL | 62719-282", 1
"ENTRUST SC NATURALYTE INSECT CONTROL | 62719-621", 1
"ENTRUST | 62719-282", 2
"ETHEPHON 2 SL | 66222-151", 1
"FIRELINE 17WP (OXYTETRACYCLINE) | 80990-1", 1
"FLUDIOXONIL 2L PH | 42750-251", 1
"FUSILADE DX HERBICIDE | 100-1070", 2
"FYFANON 57% EC | 279-3607", 1
"GALIGAN 2E HERBICIDE | 66222-28", 4
"GF-120 NF | 62719-498", 28
"GLY STAR ORIGINAL | 42750-60", 1
"GLY STAR PLUS | 42750-61", 1
"GOVERN 4E INSECTICIDE | 62719-220-55467", 1
"GRAMOXONE SL 2.0 HERBICIDE | 100-1431", 12
"HAWK-I 2L INSECTICIDE | 81943-11", 1
"HDH TBZ | 43410-33-83103", 1
"IAP 440 SPRAY OIL | 71058-6", 1
"KASUMIN 2L | 66330-404", 1
"LAMBDA SELECT | 86869-5", 1
"LEAF LIFE GAVICIDE GREEN 415 | 34704-1028", 2
"LEPROTEC | 89046-12-88847", 2
"LIME SULFUR ULTRA | 71096-11", 1
"LIME-SULFUR SOLUTION -CANCELLED 2020- | 61842-30", 1
"LIME-SULFUR SOLUTION AG FUNGICIDE | 61842-30", 4
"LORSBAN 75WG | 62719-301", 1
"LORSBAN ADVANCED INSECTICIDE | 62719-591", 1
"LORSBAN-4E INSECTICIDE | 62719-220", 1
"LUNA SENSATION | 264-1090", 2
"LUNA TRANQUILITY | 264-1085", 1
"MAD DOG PLUS | 34704-890", 1
"MAGNA-BON CS 2005 | 66675-3", 1
"MERIT 75 WSP INSECTICIDE | 432-1318", 1
"MERIVON XEMIUM BRAND FUNGICIDE | 7969-310", 1
"MICROTHIOL DISPERSS MICRONIZED WETTABLE SULFUR | 70506-187", 4
"MOVENTO | 264-1050", 1
"NU COP 50 WP AG FUNGICIDE/BACTERICIDE | 45002-7", 1
"NU-COP 30 HB FUNGICIDE/BACTERICIDE | 42750-281", 2
"NU-COP 50DF FUNGICIDE/BACTERICIDE | 45002-4", 2
"NUFARM WEEDAR 64 BROADLEAF HERBICIDE | 71368-1", 2
"NUPRID 4F MAX INSECTICIDE | 228-528", 1
"OMNI SUPREME SPRAY | 5905-368", 2
"ONAGER EW MITICIDE | 10163-337", 1
"PAGEANT INTRINSIC BRAND FUNGICIDE | 7969-251", 2
"PARA-SHOT 3.0 | 83529-27", 1
"PARAQUAT 43.2% SL | 85678-58", 20
"PROCURE 480SC AG FUNGICIDE | 400-518", 1
"PROMALIN PGR SOLUTION | 73049-41", 1
"PROWL H2O HERBICIDE | 241-418", 1
"QUALI-PRO GLYPHOSATE PLUS HERBICIDE | 66222-176", 1
"REGULATE SELECT | 89442-16", 2
"RELY 280 HERBICIDE | 7969-448", 1
"RESIST 57 | 82940-1", 1
"RETAIN PGR SOLUBLE POWDER | 73049-45", 6
"REX LIME SULFUR SOLUTION | 71096-6", 2
"ROUNDUP POWER MAX HERB | 524-549", 6
"ROUNDUP POWER MAX HERBICIDE | 524-549", 2
"ROUNDUP WEATHER MAX HERBICIDE | 524-537", 1
"ROUNDUP WEATHER MAX | 524-537", 1
"SERENADE ASO | 264-1152", 2
"SEVIN SL CARBARYL INSECTICIDE (ES) | 432-1227", 1
"SOLERA RECKON 280SL HERBICIDE | 88685-2-84237", 2
"STAR SPECIALTY IMIDASTAR 2L T&O | 42750-115", 1
"SULFUR DRY FLOWABLE | 62562-4-2935", 9
"SUPPRESS HERBICIDE EC | 51517-9", 3
"TALSTAR P PROFESSIONAL INSECTICIDE | 279-3206", 3
"TALSTAR S SELECT INSECTICIDE | 279-3155", 2
"TEMPEST DUAL-ACTION INSECTICIDE | 279-3459-5905", 1
"TIMECTIN 0.15EC AG INSECTICIDE/MITICIDE | 84229-2", 2
"TOPGUARD FUNGICIDE SPECIALTY CROPS | 67760-75", 1
"TRANSFORM WG | 62719-625", 1
"TYPY PGR SOLUTION | 55146-78", 1
"VALENT ENVOY HERBICIDE | 59639-78", 1
"VELUM PRIME | 264-1078", 1
"VINAGREEN | 85208-1-73015", 1
"WILLOWOOD ABAMECTIN 0.15EC | 87290-58", 1
"WYNCA USA SUNPHOSATE 41% HERBICIDE | 87659-3", 1
"YELLOW JACKET FLOWABLE SULFUR | 6325-22", 1
"ecoFOG-170 DPA POST-HARVEST DIPHENYLAMINE | 64864-69", 1
